network,country,state,region,location,lat,lon,spread,start,end,cause
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΓΛΑΝΤΖΙΑ,35.127962412977794,33.40283340606115,0.01624,2014-06-09 21:00:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΓΛΑΝΤΖΙΑ,35.125139323558265,33.38073709393788,0.01085,2014-06-10 22:00:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΓΕΡΙ ,35.12613472979925,33.40739020648837,0.00356,2014-06-10 20:45:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΓΕΡΙ ,35.124963821061165,33.40158940470205,0.00594,2014-06-11 21:00:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΜΥΛΙΚΟΥΡΙ ,34.95623745666705,32.70392228025398,0.005,2014-06-12 15:50:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΚΑΠΕΔΕΣ ,34.97160940493237,33.24468890216602,3.0,2014-06-13 14:06:00,,Άγνωστη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΓΛΑΝΤΖΙΑ,35.15887099812156,33.381223598954,0.00239,2014-06-13 10:55:00,,Σκόπιμη
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΑΒΔΕΛΛΕΡΟ ,34.99814556855486,33.52435969878843,2.14,2014-06-17 14:40:00,,Σκόπιμη
CY__ASOS,CY,,ΠΑΦΟΣ,ΙΝΕΙΑ ,34.94395715270895,32.37229000185662,0.27,2014-06-18 19:45:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΓΟΥΡΡΗ ,34.982485023413865,33.14253138335659,72.0,2014-06-18 15:30:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΛΕΜΕΣΟΣ ,34.650996339888415,32.9981994252305,0.02,2014-06-20 16:40:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΓΛΑΝΤΖΙΑ,35.124274261762615,33.383411027270874,0.2,2014-06-22 16:30:00,,Σκόπιμη
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΚΑΛΟ ΧΩΡΙΟ ,34.9219373592586,33.499241103017255,0.5,2014-07-03 13:30:00,,Στρατιωτικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΜΑΚΟΥΝΤΑ ,35.05126877950514,32.48039988801488,8.9241,2014-07-17 11:57:00,,Σκόπιμη
CY__ASOS,CY,,ΠΑΦΟΣ,ΝΕΟ ΧΩΡΙΟ,35.053006844273504,32.35246435689973,0.003,2014-07-20 12:55:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΠΑΦΟΣ,ΤΙΜΗ ,34.70580463699233,32.49228782210496,0.005,2014-07-21 08:00:00,,Σκόπιμη
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΑΓΙΑ ΑΝΝΑ ,34.934987237062856,33.49442555236535,0.1,2014-08-01 12:30:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΛΕΥΚΑ,35.059273669207414,32.814795839975865,0.0039,2014-08-06 14:00:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΜΟΣΦΙΛΩΤΗ ,34.93815410568825,33.4449928006167,0.1,2014-08-16 12:45:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΑΡΓΑΚΑ ,35.06113342866399,32.49098607525187,1.1063,2014-09-11 15:45:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΑΓΙΟΣ ΜΑΜΑΣ ,34.85476117148073,32.93090668511156,3.96,2014-09-12 12:30:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΛΑΜΠΡΑ ,34.98664767714826,33.42799806223832,0.4,2014-09-14 12:15:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΖΩΟΠΗΓΗ ,34.870263622226595,32.98926642386899,0.26,2014-09-15 14:30:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΟΛΙΣ ΧΡΥΣΟΧΟΥΣ ,35.03837883685927,32.41976479063704,1.245,2014-09-15 17:20:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΚΟΙΛΑΝΙ ,34.85383863345572,32.855798345331465,0.5,2014-09-21 15:50:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΟΜΟΔΟΣ ,34.85744736258573,32.79427784124008,0.5,2014-09-21 14:20:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΚΟΙΛΑΝΙ ,34.85117936489312,32.86445567513835,1.84,2014-09-24 14:55:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΑΡΑΔΙΠΠΟΥ ,34.95523072596501,33.57257325744501,0.08,2014-09-25 15:00:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΚΟΡΝΟΣ,34.934710683504846,33.40330979287945,0.002,2014-10-12 16:10:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΠΑΦΟΣ,ΛΥΣΟΣ,35.04046645375718,32.58595274275965,0.006,2015-05-14 09:00:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΑΝΩ ΠΑΝΑΓΙΑ,34.990016772497334,32.64660352299698,0.005,2015-05-14 06:45:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΠΕΡΑ ΧΩΡΙΟ ,35.00577896939964,33.388852138649334,2.9,2015-05-20 12:30:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΛΥΘΡΟΔΟΝΤΑΣ,34.95016039406902,33.32406016639969,0.28,2015-05-20 11:40:00,,Στρατιωτικές δραστηριότητες
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΚΟΡΝΟΣ,34.91209145512062,33.39611648251551,0.1,2015-05-20 13:00:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΛΑΡΝΑΚΑ ,34.90804825928846,33.61571314434331,3.44,2015-05-26 16:14:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΚΑΠΗΛΕΙΟ ,34.83456090094834,32.97647507554094,0.26,2015-05-26 13:20:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΚΑΠΗΛΕΙΟ ,34.8318092916128,32.97086549812534,0.14,2015-05-26 13:20:00,,Σκόπιμη
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΚΟΦΙΝΟΥ ,34.85547397590059,33.38940158887813,0.4,2015-06-05 10:00:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΚΑΤΩ ΠΥΡΓΟΣ   ,35.14880370008164,32.693576305107605,0.1,2015-06-17 03:45:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΓΙΑ ΜΑΡΙΝΑ ΞΥΛΙΑΤΟΥ,35.05200512658166,33.040232960657214,0.1,2015-06-17 16:15:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΣΤΡΟΒΟΛΟΣ ,35.132571409686136,33.37139787763011,1.1,2015-06-18 15:40:00,,Άγνωστη
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΚΟΡΝΟΣ,34.90543204610133,33.371849964586254,0.3,2015-07-06 13:00:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΠΑΝΩ ΛΕΥΚΑΡΑ,34.856064143841586,33.34948611974436,0.2,2015-07-13 12:15:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΚΑΤΩ ΛΕΥΚΑΡΑ ,34.86887626773997,33.36844672325755,0.1,2015-07-15 18:05:00,,Σκόπιμη
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΚΟΡΝΟΣ,34.92160989083745,33.38899115313156,0.1,2015-07-17 16:00:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΣΑΡΑΝΤΙ ,34.96820358997047,32.99228805342736,0.02,2015-07-21 17:10:00,,Άγνωστη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΛΑΜΠΡΑ ,34.98544191790742,33.40893814799308,0.4,2015-07-21 16:10:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΝΗΣΟΥ ,35.01827120198992,33.385020093029254,0.1,2015-07-21 17:05:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΠΑΦΟΣ,ΝΕΟ ΧΩΡΙΟ,35.024506578456204,32.36326724995141,0.0025,2015-07-23 14:30:00,,Σκόπιμη
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΜΟΣΦΙΛΩΤΗ ,34.96047635071212,33.42366681394162,2.1,2015-07-25 16:00:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΓΙΟΣ ΕΠΙΦΑΝΙΟΣ ΟΡΕΙΝΗΣ,34.98525072290355,33.11996531302288,0.01,2015-07-27 07:00:00,,Βραχυκύκλωμα καλωδίων
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΑΝΩ ΠΑΝΑΓΙΑ,34.91293885224138,32.64773329653807,0.09,2015-08-02 09:25:00,,Άλλη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΣΙΑ ,34.948287764897,33.396060518189536,0.03,2015-08-12 13:55:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΟΛΙΣ ΧΡΥΣΟΧΟΥΣ ,35.04241550451285,32.41724738374463,0.00097,2015-08-23 16:45:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΠΑΛΑΙΟΜΥΛΟΣ ,34.926414826567736,32.82990872838372,0.0001,2015-08-23 04:40:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΕΓΕΙΑ ,34.8865597487838,32.38606681390134,1.86,2015-08-30 03:20:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΓΕΡΙ ,35.12605793971681,33.4140848596536,0.2,2015-09-02 14:50:00,,Βραχυκύκλωμα καλωδίων
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΚΟΡΑΚΟΥ,35.04766497124459,32.86727886089154,0.2,2015-09-08 15:50:00,,Άγνωστη
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΑΨΙΟΥ ,34.790809106728,33.00470031246756,4.2,2015-09-10 14:45:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΚΟΡΝΟΣ,34.909980062161296,33.40472134472187,0.3,2015-09-11 13:30:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΓΛΑΝΤΖΙΑ,35.15834306455768,33.379925517544024,0.0019,2015-09-17 19:40:00,,Άγνωστη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΓΛΑΝΤΖΙΑ,35.15834306455768,33.379925517544024,0.00218,2015-09-18 21:40:00,,Άγνωστη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΣΙΑ ,34.946909514731395,33.40112445525223,0.1,2015-09-20 16:40:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΕΓΕΙΑ ,34.89487697879197,32.33030844466014,0.15,2015-09-22 19:45:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΚΑΛΟΠΑΝΑΓΙΩΤΗΣ,34.994771144651395,32.820014814358,0.0375,2015-10-02 16:17:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΠΕΔΟΥΛΑΣ ,34.96403553155618,32.81725594653384,0.0016,2015-10-02 17:55:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΓΛΑΝΤΖΙΑ,35.131322003822746,33.41201505808923,0.0015,2015-10-07 18:25:00,,Στρατιωτικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΚΑΘΙΚΑΣ ,34.91773898958391,32.36790266677392,0.37,2015-10-13 15:00:00,,Σκόπιμη
CY__ASOS,CY,,ΠΑΦΟΣ,ΚΑΘΙΚΑΣ ,34.913560254776364,32.38120243925388,0.06,2015-10-20 18:30:00,,Σκόπιμη
CY__ASOS,CY,,ΠΑΦΟΣ,ΙΝΕΙΑ ,34.94547857136484,32.366594725400084,3.55,2015-10-31 15:30:00,,Σκόπιμη
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΟΛΙΣ ΧΡΥΣΟΧΟΥΣ ,35.03621739542966,32.42032823724443,0.695,2015-11-10 10:30:00,,Κάψιμο σκυβάλων
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΕΓΕΙΑ ,34.90289349654146,32.39389176401062,2.95,2015-11-12 14:35:00,,Σκόπιμη
CY__ASOS,CY,,ΠΑΦΟΣ,ΙΝΕΙΑ ,34.978884658995675,32.34227898948262,0.29,2015-11-20 14:00:00,,Σκόπιμη
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΕΓΕΙΑ ,34.90239165664381,32.39271333618365,0.61,2015-11-22 15:00:00,,Δραστηριότητες κυνηγών
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΕΓΕΙΑ ,34.903166673415576,32.38901895984566,7.38,2015-11-25 09:30:00,,Δραστηριότητες κυνηγών
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΑΝΩ ΠΑΝΑΓΙΑ,34.918353208513345,32.6220048129156,1.15,2016-02-15 13:10:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΑΝΩ ΠΑΝΑΓΙΑ,34.91464034069495,32.64061029866258,0.4,2016-02-19 13:50:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΠΑΝΩ ΑΜΙΑΝΤΟΣ ,34.92767334506928,32.92395864811808,0.005,2016-02-21 10:05:00,,Δασικές εργασίες
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΚΟΙΛΑΝΙ ,34.85409760997734,32.85367566712851,1.2,2016-02-24 10:45:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΑΝΩ ΑΡΧΙΜΑΝΔΡΙΤΑ,34.72866001335361,32.67581276418371,7.0,2016-03-02 13:45:00,,Άγνωστη
CY__ASOS,CY,,ΠΑΦΟΣ,ΑΓΙΟΣ ΙΩΑΝΝΗΣ,34.874222274791414,32.6856481652635,1.8,2016-03-09 18:50:00,,Σκόπιμη
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΑΓΙΟΙ ΒΑΒΑΤΣΙΝΙΑΣ ,34.89919096551574,33.176317720260975,39.0,2016-03-09 13:20:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΑΣΠΡΟΓΙΑ ,34.923463169878445,32.61247813989452,0.16,2016-03-10 11:52:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΑΜΜΟΧΩΣΤΟΣ,ΑΓΙΑ ΝΑΠΑ ,34.98711137552996,33.96265432989022,0.05,2016-03-30 14:08:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΚΟΡΑΚΟΥ,35.05101126096936,32.88583804967507,0.1,2016-04-05 14:00:00,,Άγνωστη
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΑΓΙΑ ΑΝΝΑ ,34.94684863126184,33.49356587382521,3.5,2016-04-05 11:45:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΓΕΡΑΚΙΕΣ ,35.01784235014168,32.77424568910983,0.0005,2016-04-09 17:30:00,,Βραχυκύκλωμα καλωδίων
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΑΝΩ ΠΑΝΑΓΙΑ,34.929985288195915,32.645788113850415,0.82,2016-04-10 20:47:00,,Σκόπιμη
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΒΟΡΟΚΛΗΝΗ,34.98064002669155,33.64313085672159,0.06,2016-04-16 13:30:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΣΙΑ ,34.94693492751,33.37040547063813,0.8,2016-04-20 14:30:00,,Στρατιωτικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΙΝΕΙΑ ,34.94392029073296,32.36692428829565,0.05,2016-04-24 16:20:00,,Σκόπιμη
CY__ASOS,CY,,ΑΜΜΟΧΩΣΤΟΣ,ΠΑΡΑΛΙΜΝΙ ,35.01616344540032,33.99625922713813,6.0,2016-04-26 12:02:00,,Άγνωστη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΚΟΡΑΚΟΥ,35.05100222298239,32.88581613123911,0.1,2016-04-30 09:20:00,,Άγνωστη
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΦΟΙΝΙ,34.895553519543355,32.84085149855207,0.01,2016-05-01 16:00:00,,Σκόπιμη
CY__ASOS,CY,,ΠΑΦΟΣ,ΑΝΑΔΙΟΥ ,34.96326129353957,32.553283215518704,5.8,2016-05-02 12:55:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΛΥΘΡΟΔΟΝΤΑΣ,34.946361278465055,33.28177238703402,0.01,2016-05-02 15:00:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΛΑΖΑΝΙΑΣ,34.95425431546011,33.22416693987681,0.02,2016-05-02 16:30:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΛΑΖΑΝΙΑΣ,34.9529008899634,33.2246013513832,0.0006,2016-05-02 17:00:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΠΑΝΩ ΠΟΛΕΜΙΔΙΑ ,34.71820532297088,32.98078926414125,2.17,2016-05-02 15:15:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΚΟΡΑΚΟΥ,35.04694792175697,32.88010902715282,0.05,2016-05-03 01:15:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΜΑΘΙΑΤΗΣ ,34.9800998563251,33.34636394893122,1.1,2016-05-03 04:00:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΔΕΛΙΚΗΠΟΣ ,34.93177672491754,33.3329664968886,0.2,2016-05-04 21:00:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΠΑΝΩ ΠΥΡΓΟΣ  ,35.139135820729884,32.67233860419194,2.4,2016-05-14 15:25:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΠΥΡΓΟΣ ,34.724929744238835,33.19034245837271,1.8,2016-05-17 15:58:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΕΠΙΣΚΟΠΕΙΟ ,35.035363497247964,33.215628454148764,4.0,2016-05-18 13:40:00,,Κάψιμο σκυβάλων
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΠΥΡΓΑ,34.911118803332926,33.41992106778355,0.05,2016-05-19 16:50:00,,Στρατιωτικές δραστηριότητες
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΠΥΡΓΑ,34.90582350095099,33.41526391728569,0.7,2016-05-22 12:00:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΛΥΘΡΟΔΟΝΤΑΣ,34.94511829349365,33.3142717323601,0.04,2016-05-23 20:50:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΚΑΛΟΠΑΝΑΓΙΩΤΗΣ,34.986793078878144,32.85553273016669,0.0038,2016-05-28 10:30:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΓΕΡΑΚΙΕΣ ,34.98071386680233,32.80881556037441,0.001,2016-05-28 10:30:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΜΥΛΙΚΟΥΡΙ ,34.941546073319856,32.77443308111503,0.001,2016-05-28 13:30:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΚΑΚΟΠΕΤΡΙΑ,34.96701235163079,32.866554625038205,0.0154,2016-05-29 14:30:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΠΑΦΟΣ,ΑΣΠΡΟΓΙΑ ,34.92845527776036,32.59750915572103,5.8,2016-05-31 13:22:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΜΑΘΙΑΤΗΣ ,34.97793089476245,33.34487579750956,0.1,2016-05-31 15:10:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΜΠΕΛΙΚΟΥ,35.078571510221714,32.803815968696846,0.027,2016-06-02 12:30:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΛΥΜΠΙΑ ,34.99511227378633,33.44382156527021,0.015,2016-06-06 12:05:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΠΑΝΩ ΛΕΥΚΑΡΑ,34.88037492646119,33.34969842181314,0.7,2016-06-10 13:20:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΓΕΡΑΣΑ ,34.821171662722705,33.007512323432024,0.002,2016-06-13 02:05:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΚΑΛΟ ΧΩΡΙΟ,34.83159604803345,33.00865065010804,0.037,2016-06-14 10:55:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΓΙΟΣ ΕΠΙΦΑΝΙΟΣ ΟΡΕΙΝΗΣ,35.0029827034779,33.106336156491345,0.0379,2016-06-14 13:06:00,,Δασικές εργασίες
CY__ASOS,CY,,ΠΑΦΟΣ,ΑΡΓΑΚΑ ,35.069782251238216,32.49561566533988,763.3,2016-06-18 14:35:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΜΑΘΙΑΤΗΣ ,34.94879772621242,33.33112968350616,0.05,2016-06-19 16:30:00,,Στρατιωτικές δραστηριότητες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΕΥΡΥΧΟΥ ,35.032152847140054,32.90302135741867,1885.8,2016-06-19 13:50:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΛΥΘΡΟΔΟΝΤΑΣ,34.95631754916026,33.30018532145404,0.2,2016-06-20 14:30:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΜΕΝΟΓΕΙΑ ,34.84308114336766,33.442894505559394,2.0,2016-06-22 13:45:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΑΝΩ ΑΡΧΙΜΑΝΔΡΙΤΑ,34.74119123171709,32.64854033544652,0.04,2016-07-07 15:50:00,,Σκόπιμη
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΑΝΩ ΑΡΧΙΜΑΝΔΡΙΤΑ,34.734037006264984,32.64435419233844,0.01,2016-07-07 15:50:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΑΨΙΟΥ ,34.79766226825471,33.010079178283334,0.4,2016-07-12 09:05:00,,Σκόπιμη
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΛΑΡΝΑΚΑ ,34.909614631855725,33.61801264871183,0.0015,2016-07-24 22:15:00,,Σκόπιμη
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΛΑΡΝΑΚΑ ,34.90690065425377,33.61973274218114,0.0075,2016-07-26 22:15:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΛΥΘΡΟΔΟΝΤΑΣ,34.95403379572257,33.30474420057605,0.1,2016-08-05 20:55:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΜΑΘΙΑΤΗΣ ,34.973310305836975,33.336541521123785,1.0,2016-08-08 00:30:00,,Σκόπιμη
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΠΑΝΩ ΛΕΥΚΑΡΑ,34.87635068352471,33.26914668056771,1.5,2016-08-09 03:00:00,,Σκόπιμη
CY__ASOS,CY,,ΠΑΦΟΣ,ΛΥΣΟΣ,35.03502703585894,32.63897673900486,0.002,2016-08-16 18:10:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΠΕΡΑ ,35.03036917975089,33.25236239380299,0.6,2016-08-21 13:20:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΚΑΜΠΙΑ ,35.00075950675228,33.2676027648232,1.1,2016-08-23 12:55:00,,Άγνωστη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΛΥΘΡΟΔΟΝΤΑΣ,34.96288399317822,33.31376995678426,0.4,2016-08-29 13:55:00,,Σκόπιμη
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΠΥΡΓΑ,34.930857946054395,33.42770810488693,0.015,2016-08-29 22:40:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΛΥΘΡΟΔΟΝΤΑΣ,34.94415258263032,33.31459658403797,0.004,2016-08-31 07:10:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΚΑΠΗΛΕΙΟ ,34.825649746491415,32.96900862219138,1.17,2016-08-31 13:30:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΔΕΛΙΚΗΠΟΣ ,34.927747145058554,33.345443051835744,0.1,2016-09-07 15:40:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΜΑΘΙΑΤΗΣ ,34.971045468047514,33.337069042088814,0.2,2016-09-11 22:55:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΛΥΘΡΟΔΟΝΤΑΣ,34.95838106710185,33.30798050613079,0.4,2016-09-18 15:18:00,,Σκόπιμη
