network,country,state,region,location,lat,lon,spread,start,end,cause
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΓΙΟΣ ΕΠΙΦΑΝΙΟΣ ΟΡΕΙΝΗΣ,34.994336233256405,33.13255828544991,0.0459,2012-08-29 14:12:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΠΑΦΟΣ,ΛΥΣΟΣ,34.99946644960754,32.51350440637019,0.2009,2012-09-03 12:20:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΜΥΛΙΚΟΥΡΙ ,34.92000352943133,32.75147928298954,0.0009,2012-09-10 16:45:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΕΥΡΥΧΟΥ ,35.051893394508724,32.894050075949835,0.4,2012-09-11 07:05:00,,Βραχυκύκλωμα καλωδίων
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΛΑΖΑΝΙΑΣ,34.913768562080264,33.21251847030949,0.1,2012-09-22 18:50:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΓΙΟΣ ΕΠΙΦΑΝΙΟΣ ΟΡΕΙΝΗΣ,34.98745442546384,33.12547991111072,0.037,2012-09-24 08:00:00,,Βραχυκύκλωμα καλωδίων
CY__ASOS,CY,,ΠΑΦΟΣ,ΒΡΕΤΣΙΑ ,34.886955171653625,32.65254997281884,40.0,2012-09-27 13:25:00,,Σκόπιμη
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΚΑΛΑΒΑΣΟΣ ,34.79647207442569,33.26515914166525,1.1,2012-10-03 11:20:00,,Στρατιωτικές δραστηριότητες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΤΣΑΚΙΣΤΡΑ,35.029393644310694,32.734189508503775,0.0002,2012-10-06 14:00:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,Μ/Δ1,ΛΥΣΟΣ,35.03738335332857,32.538682357885065,0.02,2012-10-07 15:10:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΚΑΜΠΟΣ ,35.08750714771172,32.741076982753256,0.015,2012-10-07 01:00:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΠΑΦΟΣ,ΛΥΣΟΣ,35.01337384206576,32.61753471338333,0.001,2012-10-08 14:00:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΣΑΡΑΝΤΙ ,34.98966482885976,33.011987316655336,0.0045,2012-10-12 10:30:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΦΙΚΑΡΔΟΥ,34.98662326235998,33.19498926444389,1.7,2012-10-18 12:55:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΚΑΝΝΑΒΙΑ,35.0054186794989,32.99272293984422,0.0025,2012-10-22 11:30:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΚΑΝΝΑΒΙΑ,34.99416509710862,33.00282714532401,0.001,2012-10-22 11:40:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΠΑΦΟΣ,ΙΝΕΙΑ ,34.96353138424136,32.31511631892211,0.0015,2013-02-22 08:20:00,,Δασικές εργασίες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΚΟΚΚΙΝΑ,35.164543140075175,32.596612954116424,0.158,2013-02-28 17:30:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΚΟΚΚΙΝΑ,35.164822446817794,32.596545690882614,0.031,2013-03-01 17:20:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΣΙΑ ,34.942913096101634,33.3704202374096,0.3,2013-03-11 11:35:00,,Στρατιωτικές δραστηριότητες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΣΙΑ ,34.94615953711268,33.37036912903034,0.0016,2013-03-12 13:25:00,,Στρατιωτικές δραστηριότητες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΑΓΙΟΣ ΕΠΙΦΑΝΙΟΣ ΟΡΕΙΝΗΣ,35.007547472369026,33.1399664321991,12.6767,2013-04-01 14:30:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΛΕΜΕΣΟΣ ,34.7086380002431,33.01464390585909,0.1,2013-04-10 14:00:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΛΕΜΕΣΟΣ ,34.709783714071555,33.01030875299396,0.75,2013-04-14 16:10:00,,Ταξιδιώτες / Εκδρομείς
