valid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018-01-01,0.9999999999999997,1.0000000000000007,0.9999999999999998,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999999,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,1.0000000000000002,1.0,0.9999999999999998,1.0000000000000002,0.9999999999999953,0.9999999999999991,0.9999999999999984,1.0000000000000013,0.9999999999999979
2018-01-02,0.9999999999999997,1.0000000000000007,0.9999999999999998,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,1.0000000000000004,0.9999999999999996,1.0000000000000004,1.0000000000000107,1.0
2018-01-03,1.9999999999999998,2.0,2.0,2.0,1.9999999999999998,2.0000000000000004,1.9999999999999998,1.9999999999999998,1.9999999999999996,1.9999999999999984,2.0000000000000044,1.5812877560340917,1.4176458072973845,0.9999999999999998,1.0000000000000018,0.9999999999999994,0.9999999999999999,1.0000000000000016,1.0000000000000062,0.9999999999999845,0.9999999999999543,1.0000000000000293,1.0000000000001377,1.000000000000008
2018-01-04,2.031621948952778,2.008553912887948,1.9723503567425222,1.9113781971406867,1.7952505409040578,1.5695819827407127,1.3758698788946748,1.1454568246716001,1.0000000000000002,1.0000000000000002,0.9999999999999997,1.0000000000000002,1.0,0.9999999999999999,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999997,1.0000000000000004,0.9999999999999946,0.9999999999999972,0.9999999999999968
2018-01-05,0.9999999999999996,0.9999999999999998,0.9999999999999994,0.9999999999999998,1.0,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0000000000000004,1.0000000000000009,1.0000000000000018,0.9999999999999989
2018-01-06,0.9999999999999997,1.0000000000000007,0.9999999999999998,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999999,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,1.0000000000000002,1.0,0.9999999999999998,1.0000000000000002,0.9999999999999953,0.9999999999999991,0.9999999999999984,1.0000000000000013,0.9999999999999979
2018-01-07,1.7520532222917085,1.6412564385483153,1.5649973785850921,1.5059830122495832,1.4424832452142857,1.60819767952272,1.8162504773535655,1.9602474001268018,2.0,1.9592632579777844,1.8122214504771057,1.6060440108704996,1.3939339311750332,1.1874440004052476,1.0401559741952147,1.0392441655187137,1.1845064091575488,1.3926355917017161,1.5602521879909397,1.6101164887157844,1.4652747564698814,1.320960554785302,1.1487273476267255,0.9553185457238851
2018-01-08,1.9999999999999991,2.0,1.9999999999999998,2.0000000000000004,2.0000000000000004,2.0,2.0000000000000004,2.0000000000000004,1.999999999999997,2.000000000000007,2.000000000000001,2.0,1.0,1.0000000000000053,1.0,0.9999999999999968,1.0000000000000002,0.9999999999999997,1.0,1.0000000000000002,1.000000000000003,0.9999999999999993,0.999999999999992,0.999999999999993
2018-01-09,2.0000000000000018,1.999999999999999,2.0,2.0,2.0,2.0,2.0,1.9739988793135845,1.8104950956657306,1.5951549040461972,1.405280559132409,1.1900629065571007,1.0280659389521851,0.9999999999999997,0.9999999999999999,1.0281001421868412,1.1901176914929574,1.4057502390003196,1.5958664968948932,1.8102329827974768,1.913501181333185,1.9763171986906443,2.020215456741598,2.0518769197184747
2018-01-10,3.079081439098383,2.9418773423139095,2.7978590153154097,2.637803502998836,2.431147633196774,2.1320287218769947,1.9761872590584275,1.810741234257022,1.7114243244047211,1.8309141027008846,2.003716348653377,2.1823915662844753,2.350721769304592,2.469732595032726,2.6186845460946406,2.7089085561545323,2.569548340158386,2.2813573687019786,1.9579010556512646,1.6214098740650331,1.5880341632912156,1.5785035504527383,1.6009234251860904,1.670023230134483
2018-01-11,2.002991849445605,2.001386137059849,1.998562412965492,1.992639181374244,1.967400947664214,1.67751133164745,1.4862286359121153,1.2797451256597123,0.9999999999999994,1.0000000000000002,0.9999999999999999,0.9999999999999998,1.140462181892847,1.385124292593169,1.591944883472506,1.8226031151064104,1.9999999999999998,2.0,1.9999999999999991,1.9999999999999991,1.9999999999999971,2.000000000000009,1.9999999999999898,1.999999999999996
2018-01-12,3.5686781473417013,3.1238009094016044,2.6781171567895266,2.239434772581102,1.8037576095168395,1.449509043500919,1.1999941691303118,1.0564815103304004,1.0636010539604284,1.0850586240098794,1.0844551768646813,1.125029094988101,1.2350252991906978,1.400751657140432,1.6102290419891494,1.7808435788341992,1.7794230131244455,1.6082948644219082,1.3940356354619008,1.1862204876611968,1.152098625810051,1.1858500665796676,1.2407772433587032,1.3179852634705114
2018-01-13,0.6300194284884183,0.8768257888287447,1.1276404508737419,1.3721771985600797,1.6023951850276836,1.8116024046237107,1.9650006436873562,2.0,1.9999999999999998,1.9999999999999998,2.0,1.9999999999999998,2.0,2.0,1.963939573225184,1.8081869582162298,1.598945016380105,1.3952407023823947,1.17703198694863,1.0712784931308386,1.2816742734778137,1.4889479765925842,1.7054707189846496,1.9391515963859878
