valid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018-01-01,3500.0,3500.0,3500.0,3500.0,3500.0,3000.0,3000.0000000000355,2999.9999999999845,2999.9999999999936,3000.0,2999.9999999999995,3000.0,3000.0,3000.0,3000.0,2999.9999999999995,3000.0,3000.0000000000005,3000.0000000000005,2999.999999999999,2999.9999999999995,2999.9999999999977,2999.999999999999,2999.999999999997
2018-01-02,2999.9999999999995,3000.0000000000005,3000.0000000000005,3000.0,2999.9999999999995,2999.9999999999995,3000.0000000000005,3000.0,3000.0,2999.9999999999995,2999.9999999999995,2999.9999999999995,3000.0000000000005,2999.9999999999995,3000.0,3000.000000000001,2999.9999999999995,2999.9999999999964,2999.9999999999454,3000.0,1000.0,1000.0,2500.0,3250.0
2018-01-03,3151.8237906104846,2988.935158614817,2818.229735876982,2649.37270521226,2483.4599728405483,2410.163641312307,2363.311072384258,2494.1510205233335,2753.3737638466146,3006.7561951079156,3193.8561258544933,3350.7732064279817,3468.481694335047,3499.9999999999995,3489.204580422933,3441.9288097298386,3354.437192671364,3250.0000584240884,3145.4913218642746,3057.8258180522107,3006.6567599567343,2949.9163877753504,2896.7085827513392,2844.79042010218
2018-01-04,2532.829111950876,2504.872124286165,2460.8468327566165,2389.0259845678406,2269.211355620583,2140.667008390692,1988.2703132788502,1800.000000000003,1799.9999999999995,1800.0,1800.0,1800.0,1800.0000000000005,1807.8076020949313,1838.5769856235547,1880.0782684557005,1922.9411436977894,1970.3933353170357,2005.8436995873647,2105.610807069997,2229.1716188850305,2327.9779531909853,2430.1655814919795,2534.748279853743
2018-01-05,2026.936078360497,2163.4197890681667,2303.923998569403,2450.5581086574102,2603.9627472298107,2746.4535252484206,2861.42741450698,2938.8064380378996,2972.6846272187804,2984.110124226213,2983.6013411638883,2987.1704045536694,2996.965808640068,3000.0000000000005,3000.0,3000.0,2999.9999999999995,2999.9999999999995,2999.9999999999995,2999.9999999999995,2999.9999999999995,3000.0000000000005,3000.000000000002,2999.999999999998
2018-01-06,2999.9999999999995,3000.0000000000005,3000.0000000000005,3000.0,2999.9999999999995,2999.9999999999995,3000.0000000000005,3000.0,2999.9999999999995,2999.9999999999995,2999.9999999999995,2999.9999999999995,2999.9999999999995,3000.0,2999.9999999999995,3000.0,2999.9999999999995,2999.9999999999995,2999.9999999999955,2999.9999999999827,3000.0000000000164,3000.0,3000.0000000000005,3000.0000000000086
2018-01-07,2190.801074777684,2027.4422381372053,1867.6847085166075,1710.4185605796013,1549.6658156876322,1425.1341745760926,1332.9619884111864,1238.2540101148008,1200.0000000000002,1200.0,1200.0,1200.0,1199.9999999999998,1200.0,1207.8583513032606,1230.8902503814597,1266.1004240611237,1324.698135426668,1223.0716471646106,1147.5723028477908,1053.7318770303004,964.8135118120891,874.7252314379634,782.7131397489279
2018-01-08,1499.9999999999982,1499.9999999999995,1499.9999999999998,1500.0000000000005,1499.9999999999998,1500.0000000000005,1500.0000000000002,1500.0000000000002,1500.0,1500.0,1499.9999999999998,1500.0,1500.0,1499.9999999999998,1500.0,1500.0,1500.0000000000002,1500.0,1500.0000000000002,1500.0,1499.9999999999964,1499.999999999996,1500.0000000000014,1499.9999999999936
2018-01-09,3326.2709998264177,2825.825590284113,2326.630300016693,1849.0110029660218,1357.3079928166671,737.465784146717,531.1755665910955,569.2109823559707,631.5093536065931,705.3068656782182,726.5949892095398,630.0686040286179,536.1519981919272,425.2988980963886,278.4325136779123,283.0136351516368,481.6128143257964,743.1273040180707,1022.9296277503144,1316.4478824974972,1523.9201474055649,1713.437202841186,1892.8380015491052,2064.529570864676
2018-01-10,2411.376673109685,2317.9989033328998,2230.3001862048814,2151.21568381336,2050.8320668892006,2009.9536233002304,2106.279752792369,2291.6899590274793,2500.0277277973714,2708.2847741787364,2883.1750270785205,2962.036227865258,2939.2199657791934,2907.3400664553806,2892.156764378366,2875.2520248040482,2763.027769227231,2574.775357012221,2379.1161909681628,2082.585086827287,1913.205114104154,1817.480384536025,1746.6870365614027,1702.8744949427805
2018-01-11,1601.651004981197,1593.7231186810718,1584.859861849514,1574.4829582414231,1563.7781292811922,1547.882112854891,1528.5595928961377,1509.9635476080855,1506.520088769223,1555.2583145198696,1622.2336199637487,1677.5940239327235,1744.4772872745227,1794.153328687976,1799.9999999999995,1800.0000000000002,1800.0,1793.683415856397,1737.997979320187,1670.527919448094,1619.4850003144638,1564.659781111579,1508.8449111851544,1455.0482202353373
2018-01-12,3168.7785792674586,3088.906092232913,2999.0132393800086,2900.806170031333,2801.807111261651,2692.910135461817,2562.8661061420844,2409.1689924105126,2243.6250104710007,2070.286479296746,1953.5852282940255,1866.3396913320294,1824.8942070041876,1874.325561314463,1945.77661026159,1966.5720393030406,1934.3580782751746,1863.221420309398,1780.1646260791454,1690.8608483769644,1618.1795064908763,1561.394442375074,1507.2133561645583,1455.3040700223726
2018-01-13,998.6731301683081,1166.2146825415964,1326.8507472478425,1483.1245462358158,1639.686146392513,1658.2234176905454,1574.2417194656791,1428.1023821532497,1262.508512517703,1114.9020723403412,1023.0682018544497,1024.6253547840452,1121.2779839823556,1292.2677401940932,1480.9548596233788,1661.890037491167,1747.3397050936662,1662.5091780183807,1489.888235322412,1250.0,1018.6254371116703,803.1494210951785,591.8631486512544,384.53513782035935
